# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196399_sorted.bam" "SRR17196386_sorted.bam" "SRR17196390_sorted.bam" "SRR17196395_sorted.bam" "SRR17196401_sorted.bam" "SRR17196404_sorted.bam" "SRR17196406_sorted.bam" "SRR17196396_sorted.bam" "SRR17196393_sorted.bam" "SRR17196391_sorted.bam" "SRR17196389_sorted.bam" "SRR17196398_sorted.bam" "SRR17196400_sorted.bam" "SRR17196405_sorted.bam" "SRR17196397_sorted.bam" "SRR17196402_sorted.bam" "SRR17196388_sorted.bam" "SRR17196387_sorted.bam" "SRR17196392_sorted.bam" "SRR17196403_sorted.bam" "SRR17196394_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196399_sorted.bam	SRR17196386_sorted.bam	SRR17196390_sorted.bam	SRR17196395_sorted.bam	SRR17196401_sorted.bam	SRR17196404_sorted.bam	SRR17196406_sorted.bam	SRR17196396_sorted.bam	SRR17196393_sorted.bam	SRR17196391_sorted.bam	SRR17196389_sorted.bam	SRR17196398_sorted.bam	SRR17196400_sorted.bam	SRR17196405_sorted.bam	SRR17196397_sorted.bam	SRR17196402_sorted.bam	SRR17196388_sorted.bam	SRR17196387_sorted.bam	SRR17196392_sorted.bam	SRR17196403_sorted.bam	SRR17196394_sorted.bam
gene-NWMN_RS04640	NC_009641.1	907915	908343	-	429	338	750	534	323	194	121	51	320	401	359	443	148	87	101	249	117	436	543	543	74	381
gene-NWMN_RS04645	NC_009641.1	908336	910741	-	2406	1445	3299	2718	1650	763	639	199	1484	1979	1506	2207	780	422	463	1023	577	2122	2695	2405	338	1784
gene-NWMN_RS04650	NC_009641.1	910872	911255	-	384	80	116	97	78	30	30	13	56	77	57	99	39	12	14	42	27	98	95	80	20	68
gene-NWMN_RS04655	NC_009641.1	911319	911912	+	594	817	1646	1374	1081	411	355	138	884	980	999	1439	574	275	282	647	354	1237	1270	1528	248	1146
gene-NWMN_RS04660	NC_009641.1	912328	912705	+	378	559	1040	847	432	303	192	89	301	459	494	727	267	176	214	273	286	638	1227	662	187	462
gene-NWMN_RS04665	NC_009641.1	913067	914194	+	1128	110	169	250	101	95	58	32	125	146	195	232	83	55	80	111	65	254	148	163	54	143
gene-NWMN_RS04670	NC_009641.1	914502	915692	+	1191	481	260	440	432	168	154	117	553	415	359	348	202	181	141	411	220	571	200	481	168	352
gene-NWMN_RS04675	NC_009641.1	915801	917045	+	1245	1325	969	1541	1582	515	440	340	2050	1301	1125	1428	798	581	371	1161	647	1723	822	1877	519	1237
gene-NWMN_RS04685	NC_009641.1	917548	918477	-	930	94	75	99	89	40	39	17	85	84	71	67	45	28	34	56	49	95	57	121	37	67
gene-NWMN_RS04690	NC_009641.1	918719	920098	-	1380	324	138	609	93	406	266	97	172	228	125	110	254	158	242	183	315	122	588	111	181	115
gene-NWMN_RS04695	NC_009641.1	920088	921293	-	1206	193	75	368	52	277	211	66	98	131	82	70	173	126	143	151	225	82	235	58	125	61
gene-NWMN_RS04700	NC_009641.1	921644	922975	+	1332	2518	2802	4522	2594	1440	985	473	2346	2761	2699	3027	1555	981	1181	2108	1405	3436	2933	3076	890	2686
gene-NWMN_RS04705	NC_009641.1	923300	923875	+	576	331	814	459	272	171	175	49	206	336	334	477	142	97	125	183	128	462	527	443	135	334
gene-NWMN_RS04710	NC_009641.1	923880	924404	+	525	463	1207	711	346	240	202	65	318	496	473	815	177	108	197	219	157	709	801	713	135	534
gene-NWMN_RS04715	NC_009641.1	924420	924995	+	576	657	1556	872	525	313	284	97	458	754	573	1000	274	156	255	289	216	914	994	961	199	722
gene-NWMN_RS04720	NC_009641.1	925155	928631	+	3477	370	465	796	401	237	236	105	512	613	628	595	236	207	198	344	211	820	360	620	186	570
gene-NWMN_RS04725	NC_009641.1	928632	932285	+	3654	496	635	1020	591	374	355	187	766	857	871	891	328	266	291	595	302	1160	458	886	250	851
gene-NWMN_RS04730	NC_009641.1	932451	933353	+	903	1205	1566	2795	1298	571	413	223	1273	1705	1562	1852	670	454	453	931	554	1950	1496	1977	375	6742
gene-NWMN_RS04735	NC_009641.1	933682	934071	+	390	565	685	364	387	129	133	37	236	302	340	471	197	99	103	280	139	452	389	472	78	343
gene-NWMN_RS04740	NC_009641.1	934242	935558	-	1317	701	735	1635	656	277	222	101	839	997	914	867	269	196	221	500	287	1251	1134	899	212	905
gene-NWMN_RS04745	NC_009641.1	935610	936434	-	825	223	325	595	235	113	94	31	253	366	340	350	106	76	91	163	88	455	447	384	59	341
gene-NWMN_RS04750	NC_009641.1	936548	936856	+	309	662	2087	1709	1042	378	297	109	863	1081	1162	1907	491	291	255	665	297	1428	1722	1566	270	1162
gene-NWMN_RS04755	NC_009641.1	937403	939217	+	1815	57	122	61	34	32	40	10	36	55	51	77	25	12	15	29	17	63	63	71	15	60
gene-NWMN_RS04760	NC_009641.1	939420	942029	+	2610	464	257	393	364	392	396	312	299	300	439	358	298	294	261	422	276	587	257	412	380	339
gene-NWMN_RS04765	NC_009641.1	942088	942957	-	870	12	17	8	7	5	4	2	7	7	8	10	6	3	4	4	10	18	7	16	3	11
gene-NWMN_RS04770	NC_009641.1	943067	944212	+	1146	13	13	4	6	10	0	2	4	10	8	4	3	1	2	5	5	10	7	10	3	9
gene-NWMN_RS04775	NC_009641.1	944196	944837	+	642	7	20	15	8	10	6	1	6	8	16	9	4	2	7	2	6	7	20	18	1	9
gene-NWMN_RS04780	NC_009641.1	944830	945948	+	1119	39	65	33	14	19	14	3	20	33	24	24	13	7	14	8	6	44	45	46	5	31
gene-NWMN_RS04785	NC_009641.1	945932	946447	+	516	50	88	87	30	23	15	6	34	67	44	72	17	12	20	36	17	69	79	81	9	63
gene-NWMN_RS04790	NC_009641.1	946758	947192	+	435	86	147	124	67	51	37	16	52	71	76	110	36	24	29	44	52	124	99	142	34	90
gene-NWMN_RS04795	NC_009641.1	947449	947634	-	186	614	1010	710	636	319	207	74	501	536	447	748	381	192	150	319	263	638	825	976	171	552
gene-NWMN_RS04800	NC_009641.1	947929	948870	+	942	640	1775	1969	994	477	472	151	1059	1306	1257	2026	453	255	508	609	398	1989	1100	1772	269	1116
gene-NWMN_RS04805	NC_009641.1	948882	950126	+	1245	1604	3627	4308	2883	1329	1264	534	2976	2928	3088	5120	1301	925	1206	1764	1258	4911	2556	3923	910	2736
gene-NWMN_RS04810	NC_009641.1	950181	950552	-	372	27	65	52	30	14	16	1	16	39	26	37	13	7	11	18	13	26	34	79	2	32
gene-NWMN_RS04815	NC_009641.1	950795	951721	+	927	126	85	190	103	20	16	12	67	98	70	68	46	32	16	90	35	56	140	70	30	64
gene-NWMN_RS04820	NC_009641.1	951721	952791	+	1071	98	69	227	95	26	18	10	126	122	98	72	51	22	24	77	42	82	146	66	23	67
gene-NWMN_RS04825	NC_009641.1	952808	953890	+	1083	96	50	216	128	31	24	8	129	122	105	72	49	44	30	83	48	119	105	82	26	94
gene-NWMN_RS04830	NC_009641.1	953880	954821	+	942	82	43	179	81	32	24	12	94	109	115	56	61	35	25	80	43	73	68	78	22	59
gene-NWMN_RS04835	NC_009641.1	954840	956495	+	1656	166	104	327	122	76	47	135	173	262	198	112	104	83	65	146	86	159	181	128	59	134
gene-NWMN_RS04840	NC_009641.1	956707	958422	+	1716	2	5	1	1	3	6	1	1	5	4	4	4	6	4	5	4	4	4	3	4	7
gene-NWMN_RS04845	NC_009641.1	958473	959459	+	987	6	7	9	3	4	5	4	4	6	6	6	3	4	1	3	2	8	4	6	2	8
gene-NWMN_RS04850	NC_009641.1	959462	960442	+	981	19	25	26	9	7	8	0	9	16	15	18	8	4	8	8	7	21	21	7	2	9
gene-NWMN_RS04855	NC_009641.1	960435	961397	+	963	24	36	27	12	7	3	5	11	24	27	22	12	7	13	12	12	32	19	25	1	17
gene-NWMN_RS04860	NC_009641.1	961409	962290	+	882	35	36	24	12	16	9	9	19	21	30	29	13	4	11	11	11	26	27	31	13	26
gene-NWMN_RS04865	NC_009641.1	962332	963321	-	990	679	937	786	658	247	221	94	616	618	598	869	307	190	193	389	204	807	564	1003	151	742
gene-NWMN_RS04870	NC_009641.1	963616	964011	+	396	3358	7516	6067	3188	2456	2184	1071	2631	3380	3566	4644	1955	1752	1385	3092	1479	5093	7632	4543	2506	4180
gene-NWMN_RS04875	NC_009641.1	964382	965101	+	720	1013	3063	2320	884	744	583	262	659	1159	1466	2317	497	466	505	732	490	1966	2318	1651	483	1507
gene-NWMN_RS04880	NC_009641.1	965222	966208	+	987	6	9	16	6	5	8	0	4	14	13	11	5	2	2	8	1	19	15	12	6	4
gene-NWMN_RS04885	NC_009641.1	966256	968064	+	1809	643	1464	1949	1035	460	406	154	1222	1390	1382	1770	530	280	460	750	420	2067	1058	1895	281	1260
gene-NWMN_RS04890	NC_009641.1	968524	969330	-	807	460	523	519	242	188	134	58	207	332	283	380	184	108	121	190	186	386	486	414	81	286
gene-NWMN_RS04895	NC_009641.1	969353	969718	-	366	250	291	299	152	106	97	30	119	152	183	263	114	50	85	125	88	263	287	220	37	172
gene-NWMN_RS04900	NC_009641.1	969822	970415	-	594	136	174	159	119	58	40	14	64	80	106	145	68	37	39	78	39	143	109	153	22	116
gene-NWMN_RS04905	NC_009641.1	970601	970948	+	348	120	100	140	136	68	74	21	104	133	135	127	89	55	52	95	58	210	80	172	40	136
gene-NWMN_RS04910	NC_009641.1	970965	971600	+	636	335	176	345	264	159	148	76	304	271	356	296	166	125	123	211	137	421	169	336	102	307
gene-NWMN_RS04915	NC_009641.1	971617	972426	+	810	572	593	760	574	285	256	126	620	571	621	658	339	271	236	431	312	886	589	727	207	651
gene-NWMN_RS04920	NC_009641.1	972423	973277	+	855	239	312	346	206	117	127	56	266	296	300	282	120	102	94	190	123	369	295	340	93	309
gene-NWMN_RS04925	NC_009641.1	973298	974683	+	1386	368	404	503	336	191	208	84	360	386	409	435	169	147	144	254	166	532	320	437	97	452
gene-NWMN_RS04930	NC_009641.1	974693	976537	+	1845	566	942	857	527	320	304	107	575	689	622	742	247	186	191	366	243	808	823	869	192	709
gene-NWMN_RS04935	NC_009641.1	976815	977585	+	771	1033	2694	6625	1150	533	462	165	1232	1621	1295	2156	517	335	371	715	390	1762	2518	2009	318	1541
gene-NWMN_RS04940	NC_009641.1	977780	978865	-	1086	809	1368	1291	829	315	263	77	841	1007	703	954	420	199	199	461	239	836	1096	1274	187	883
gene-NWMN_RS04945	NC_009641.1	979207	980775	+	1569	87	94	134	96	32	39	11	59	91	68	88	39	26	22	87	27	69	148	77	17	71
gene-NWMN_RS04950	NC_009641.1	980917	981675	+	759	74	103	90	66	67	70	14	57	64	62	85	31	25	35	59	38	99	99	89	30	93
gene-NWMN_RS04955	NC_009641.1	981869	982378	+	510	1571	1673	1385	1069	537	355	190	970	963	682	1309	653	356	306	664	601	1032	1393	1386	400	968
gene-NWMN_RS04960	NC_009641.1	982491	983681	-	1191	549	1240	1159	411	233	229	82	423	745	638	813	203	123	187	283	187	746	1188	747	125	587
gene-NWMN_RS04965	NC_009641.1	983659	984834	-	1176	547	1198	1200	506	269	236	72	469	694	679	897	254	150	235	285	235	903	1292	710	118	628
gene-NWMN_RS04970	NC_009641.1	985267	986748	+	1482	392	529	911	580	315	331	110	764	688	761	803	251	185	245	361	213	948	440	787	163	745
gene-NWMN_RS04975	NC_009641.1	986741	986992	+	252	84	115	252	125	79	74	22	167	180	184	162	49	45	59	85	51	228	84	207	38	176
gene-NWMN_RS04980	NC_009641.1	986992	988554	+	1563	555	845	1461	769	378	438	206	1060	1109	1076	1185	311	275	313	663	281	1401	722	1377	299	1057
gene-NWMN_RS04985	NC_009641.1	988856	989659	+	804	746	1074	1189	665	335	334	174	685	655	873	953	312	223	194	495	217	1092	1274	951	269	980
gene-NWMN_RS04990	NC_009641.1	989878	992202	+	2325	317	332	453	374	179	161	54	434	434	476	494	185	92	146	183	154	589	215	581	85	452
gene-NWMN_RS04995	NC_009641.1	992219	993577	+	1359	556	877	731	466	300	255	102	505	596	536	663	245	177	182	311	187	715	647	759	168	648
gene-NWMN_RS05000	NC_009641.1	993716	995227	+	1512	290	342	314	236	129	82	37	186	227	252	292	151	97	89	154	96	333	261	356	86	253
gene-NWMN_RS05005	NC_009641.1	995407	995495	-	89	330	474	530	722	153	192	354	489	408	599	690	411	328	126	381	238	733	856	719	316	635
gene-NWMN_RS05010	NC_009641.1	995498	995572	-	75	304	444	527	697	125	169	382	557	451	589	650	420	342	136	393	226	754	889	661	349	609
gene-NWMN_RS05015	NC_009641.1	995714	996283	-	570	16	45	26	18	32	43	8	10	14	17	24	16	14	14	12	7	20	32	40	11	18
gene-NWMN_RS05020	NC_009641.1	996493	996717	+	225	96	128	66	77	84	58	65	32	33	49	80	66	96	37	103	66	77	165	60	127	71
gene-NWMN_RS05025	NC_009641.1	996792	997778	-	987	249	539	541	208	153	102	49	165	305	283	415	114	66	104	179	106	389	445	456	88	324
gene-NWMN_RS05030	NC_009641.1	997977	998153	+	177	318	1559	1066	376	244	183	47	345	576	509	974	200	102	151	243	132	706	936	941	123	620
gene-NWMN_RS05035	NC_009641.1	998168	998770	+	603	1030	4069	2451	945	590	434	135	846	1577	1305	2095	531	326	414	703	382	1795	2207	3135	353	1604
gene-NWMN_RS15955	NC_009641.1	999086	999148	+	63	1402	759	1040	523	507	448	362	555	1030	479	486	395	353	558	419	562	423	994	1256	519	524
gene-NWMN_RS05045	NC_009641.1	999687	999788	+	102	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	2	0	0
gene-NWMN_RS15260	NC_009641.1	999810	1000070	+	261	6	2	7	3	3	2	1	4	5	3	9	4	1	1	3	0	5	4	5	3	2
gene-NWMN_RS05050	NC_009641.1	1000114	1002078	+	1965	17	27	10	19	22	17	9	12	14	16	24	12	7	5	11	7	17	19	16	11	13
gene-NWMN_RS05055	NC_009641.1	1002081	1002401	+	321	6	6	3	4	5	4	3	0	7	0	5	6	6	4	7	3	5	6	4	3	4
gene-NWMN_RS05060	NC_009641.1	1002398	1003039	+	642	14	30	17	17	10	24	11	9	12	16	24	18	7	8	25	7	27	25	26	9	15
gene-NWMN_RS15265	NC_009641.1	1003127	1003417	-	291	219	215	144	254	108	101	14	138	132	119	169	134	33	56	52	69	164	126	412	44	126
gene-NWMN_RS05070	NC_009641.1	1003696	1003983	+	288	75	68	69	55	23	17	7	53	77	43	46	27	15	10	40	27	61	46	119	22	78
gene-NWMN_RS05075	NC_009641.1	1003989	1005470	+	1482	620	574	610	458	186	189	74	500	566	426	474	232	140	156	274	177	524	379	954	118	539
gene-NWMN_RS05080	NC_009641.1	1005559	1005915	-	357	271	735	428	463	156	161	22	395	343	307	625	159	46	103	144	88	472	400	763	48	338
gene-NWMN_RS05085	NC_009641.1	1006392	1007351	+	960	21	43	42	40	24	42	13	31	44	43	50	24	13	25	33	14	65	35	55	23	42
gene-NWMN_RS05090	NC_009641.1	1007397	1007528	-	132	131	126	122	73	40	33	10	43	62	61	85	50	30	22	70	44	76	144	89	28	59
gene-NWMN_RS05095	NC_009641.1	1007592	1007807	-	216	42	114	81	29	20	13	8	25	62	33	47	18	7	14	30	15	43	79	56	13	32
gene-NWMN_RS05100	NC_009641.1	1007972	1008523	+	552	40	53	95	53	37	28	11	38	74	100	80	39	24	32	48	44	138	50	85	23	76
gene-NWMN_RS05105	NC_009641.1	1008575	1009513	-	939	635	1312	995	689	307	284	96	613	783	757	1000	344	216	215	440	236	947	775	1086	173	915
gene-NWMN_RS15960	NC_009641.1	1009664	1009768	+	105	35	48	60	42	16	10	6	45	31	50	56	29	10	10	19	17	72	47	53	15	42
gene-NWMN_RS05110	NC_009641.1	1009734	1011056	+	1323	402	322	534	287	152	146	65	338	340	402	391	213	117	134	213	178	487	312	420	98	337
gene-NWMN_RS05115	NC_009641.1	1011043	1012716	+	1674	774	582	922	506	319	326	149	651	701	799	658	318	223	241	542	293	959	524	771	206	720
gene-NWMN_RS05120	NC_009641.1	1012703	1013506	+	804	425	322	547	298	185	156	82	302	432	452	365	193	131	146	288	167	507	284	439	107	398
gene-NWMN_RS05125	NC_009641.1	1013499	1014320	+	822	2599	2993	4026	3129	1147	1024	548	2916	2750	2901	3922	1550	1074	882	2219	1206	3692	3736	3190	805	2886
gene-NWMN_RS05130	NC_009641.1	1014559	1014888	-	330	10	11	24	19	11	19	8	11	13	19	15	14	10	6	13	8	12	9	26	9	13
gene-NWMN_RS05135	NC_009641.1	1014926	1016107	-	1182	36	59	47	45	28	42	19	47	21	37	67	31	18	29	24	20	63	18	68	28	36
gene-NWMN_RS05140	NC_009641.1	1016189	1017199	-	1011	18	43	29	37	36	40	12	27	24	26	33	25	11	17	29	15	50	16	54	11	46
gene-NWMN_RS05145	NC_009641.1	1017727	1018881	-	1155	152	401	319	179	87	102	29	164	224	197	268	78	54	65	115	56	255	295	263	61	198
gene-NWMN_RS05150	NC_009641.1	1019077	1020087	-	1011	171	615	270	115	129	81	33	96	214	200	311	73	39	84	96	59	246	255	323	46	242
gene-NWMN_RS05155	NC_009641.1	1020240	1020659	+	420	36	81	50	36	56	45	12	21	33	26	53	26	13	22	28	26	68	53	42	18	32
gene-NWMN_RS05160	NC_009641.1	1020686	1020796	+	111	14	14	17	11	13	15	4	9	14	4	22	7	3	6	9	7	14	14	9	6	10
gene-NWMN_RS05165	NC_009641.1	1020866	1024636	-	3771	876	751	1092	774	602	823	384	881	1026	1250	857	443	538	422	958	369	1120	766	842	540	1301
gene-NWMN_RS05170	NC_009641.1	1024864	1025298	-	435	29	32	43	19	14	18	10	34	27	23	46	12	11	9	24	10	34	18	41	6	31
gene-NWMN_RS05175	NC_009641.1	1025453	1025923	-	471	322	641	696	273	168	162	60	286	455	405	532	160	101	123	184	138	596	519	490	115	381
gene-NWMN_RS05180	NC_009641.1	1025971	1027188	-	1218	559	1078	1189	570	330	309	122	542	779	771	982	293	210	206	355	281	1061	1022	838	172	726
gene-NWMN_RS05185	NC_009641.1	1027639	1028832	+	1194	301	498	327	207	189	170	57	206	275	263	324	509	64	81	117	86	332	335	505	94	255
gene-NWMN_RS05190	NC_009641.1	1029369	1029647	-	279	3672	2605	3463	3005	1715	1244	673	2567	2327	2324	2604	2108	1438	1079	2340	1979	2753	3572	2804	1317	2412
gene-NWMN_RS05195	NC_009641.1	1029656	1030261	-	606	5123	3081	4701	3993	1594	1268	585	3336	3190	3034	3165	2324	1506	1051	2930	1769	3921	4055	3512	1123	3201
gene-NWMN_RS05200	NC_009641.1	1030251	1032239	-	1989	13142	7416	13540	10190	3140	2969	1417	9974	8927	8432	7873	4755	2846	2429	7025	3837	10720	10424	9441	2099	8730
gene-NWMN_RS05205	NC_009641.1	1032239	1033339	-	1101	7476	5330	8114	6052	1623	1605	698	5811	5357	4538	4808	2974	1419	1329	3684	1869	5766	6481	6263	1063	5304
gene-NWMN_RS05210	NC_009641.1	1033641	1033763	+	123	2	7	6	2	5	5	1	0	6	3	7	1	2	1	6	0	8	2	8	3	1
gene-NWMN_RS05215	NC_009641.1	1033911	1034228	-	318	899	1318	853	960	748	546	199	473	480	731	1075	668	339	365	648	506	1193	856	989	439	815
gene-NWMN_RS05220	NC_009641.1	1035034	1035894	-	861	1076	1121	1350	778	432	271	125	677	969	773	1107	467	291	290	523	435	1006	1208	1206	256	780
gene-NWMN_RS05225	NC_009641.1	1036095	1036577	+	483	169	52	72	177	58	35	12	92	31	72	48	172	39	43	45	94	152	60	50	14	55
gene-NWMN_RS05230	NC_009641.1	1036564	1037688	+	1125	300	76	130	330	126	74	20	145	105	176	80	253	71	101	63	166	285	65	87	44	98
gene-NWMN_RS05235	NC_009641.1	1037692	1038396	+	705	183	54	89	194	95	47	9	83	57	94	38	137	25	64	54	90	202	59	67	33	54
gene-NWMN_RS05240	NC_009641.1	1038396	1038659	+	264	79	32	77	88	39	25	4	45	36	58	41	57	20	33	30	52	73	36	29	16	27
gene-NWMN_RS05245	NC_009641.1	1038661	1039332	+	672	180	55	202	184	70	46	27	101	76	140	99	111	54	55	77	100	204	89	61	32	63
gene-NWMN_RS05250	NC_009641.1	1039325	1041514	+	2190	276	225	689	313	139	82	50	236	190	425	325	221	90	125	245	146	422	207	147	88	222
gene-NWMN_RS05255	NC_009641.1	1041493	1042977	+	1485	219	238	528	156	97	87	34	159	237	369	376	202	95	80	148	105	216	175	159	79	199
gene-NWMN_RS05260	NC_009641.1	1042970	1043998	+	1029	172	192	359	108	73	69	34	129	233	269	326	155	87	54	134	94	173	106	139	51	167
gene-NWMN_RS05265	NC_009641.1	1044001	1044567	+	567	86	98	173	58	58	28	21	70	125	144	159	91	42	32	65	46	107	40	71	30	108
gene-NWMN_RS05270	NC_009641.1	1044582	1046060	+	1479	228	241	423	150	153	90	53	182	313	349	408	251	140	72	191	152	231	122	225	76	259
gene-NWMN_RS05275	NC_009641.1	1046082	1047329	+	1248	290	389	552	211	211	166	67	241	494	469	546	273	133	110	239	195	357	313	325	130	411
gene-NWMN_RS05280	NC_009641.1	1047594	1048400	-	807	124	118	134	116	91	66	39	107	119	138	103	60	49	39	79	47	160	108	128	38	143
gene-NWMN_RS05285	NC_009641.1	1048393	1049793	-	1401	245	289	301	264	153	153	93	230	234	287	276	163	101	74	178	122	357	270	248	112	315
gene-NWMN_RS05290	NC_009641.1	1049808	1050383	-	576	98	140	128	109	75	55	24	111	79	116	128	52	38	30	67	36	139	111	102	42	123
gene-NWMN_RS05300	NC_009641.1	1050904	1051038	-	135	701	202	184	150	166	81	45	49	99	116	73	129	121	87	171	181	135	228	106	134	114
gene-NWMN_RS05305	NC_009641.1	1051190	1052485	+	1296	2395	4752	3215	1852	1400	1022	409	1446	2007	1871	2653	1136	874	786	1447	939	2245	2915	3023	990	2374
gene-NWMN_RS05310	NC_009641.1	1052910	1054082	+	1173	230	246	411	187	80	87	42	251	366	227	268	89	71	61	131	86	316	256	338	70	245
gene-NWMN_RS05315	NC_009641.1	1054136	1054678	+	543	1152	318	626	522	275	227	116	361	354	597	300	359	343	190	828	392	609	388	382	251	424
gene-NWMN_RS05320	NC_009641.1	1054832	1055098	+	267	2595	2545	3535	2839	1518	1122	564	2502	2379	2798	2941	1575	1214	956	2399	1487	3681	2214	2767	1007	2684
gene-NWMN_RS05325	NC_009641.1	1055101	1056819	+	1719	15727	14723	21700	16832	9022	6888	3791	15049	15029	16809	18579	10149	8155	5989	14853	9526	21664	15246	17283	6684	15501
gene-NWMN_RS05330	NC_009641.1	1057056	1057289	-	234	60	150	94	86	40	44	7	45	80	65	94	32	19	27	54	21	88	66	113	29	87
gene-NWMN_RS05335	NC_009641.1	1057487	1058848	+	1362	730	1564	1536	628	459	334	94	326	543	781	835	361	212	387	444	328	1174	1428	603	156	763
gene-NWMN_RS05340	NC_009641.1	1058845	1059864	+	1020	557	1283	1163	408	391	266	87	279	530	705	722	245	178	291	301	243	1022	1103	519	142	619
gene-NWMN_RS05345	NC_009641.1	1059997	1060659	+	663	561	1174	1076	547	327	293	114	522	667	690	931	271	191	262	424	218	1040	1269	653	175	703
gene-NWMN_RS05355	NC_009641.1	1061008	1062705	-	1698	3039	5728	5746	2793	1395	1239	458	2721	3621	3054	4215	1406	1008	1005	1974	1174	3696	5837	4472	828	3496
gene-NWMN_RS05360	NC_009641.1	1062705	1062923	-	219	442	839	757	368	189	154	46	323	439	424	598	189	123	123	255	133	587	798	618	92	535
gene-NWMN_RS05365	NC_009641.1	1062952	1063074	-	123	124	179	179	89	47	38	16	69	102	116	129	35	28	31	51	29	115	195	144	13	118
gene-NWMN_RS05370	NC_009641.1	1063404	1063955	-	552	502	1373	1050	519	278	255	80	393	614	675	1072	291	196	189	307	239	856	1150	784	173	749
gene-NWMN_RS05375	NC_009641.1	1064320	1064946	+	627	415	1330	1219	509	337	284	102	367	706	726	1196	236	180	244	279	226	1037	906	1130	196	649
gene-NWMN_RS05380	NC_009641.1	1065117	1066229	+	1113	6591	8137	12567	12182	3084	3452	1935	9687	8356	12042	11800	5297	3789	2444	9282	3230	16326	6029	11606	2881	10796
gene-NWMN_RS05385	NC_009641.1	1066233	1067210	+	978	5466	6822	11520	11110	3036	3259	2093	9309	7991	11663	10866	5432	3998	2408	9267	3416	15433	5274	10671	2713	10197
gene-NWMN_RS05390	NC_009641.1	1067301	1068593	+	1293	8245	10274	16493	16099	4715	4635	3004	12797	11901	15998	15280	8652	6296	3540	13637	5426	21097	7925	14789	4221	13934
gene-NWMN_RS05395	NC_009641.1	1068597	1070003	+	1407	12862	14506	23926	20644	10112	7736	4691	16218	16940	19585	20312	13640	10545	6400	17944	10431	25216	13283	18846	8597	17928
gene-NWMN_RS05400	NC_009641.1	1070171	1070446	+	276	112	216	164	142	70	63	26	106	160	141	167	94	73	48	109	37	184	118	235	52	158
gene-NWMN_RS05405	NC_009641.1	1070590	1071129	+	540	182	118	114	127	74	72	25	127	128	140	169	71	55	47	74	57	195	50	249	60	191
gene-NWMN_RS05410	NC_009641.1	1071142	1072236	+	1095	389	226	238	271	166	178	77	317	276	323	298	158	113	120	173	144	433	134	483	97	376
gene-NWMN_RS05415	NC_009641.1	1072229	1073026	+	798	231	190	100	182	110	97	42	159	139	147	170	72	74	74	109	79	239	65	323	52	189
gene-NWMN_RS05420	NC_009641.1	1073032	1073841	+	810	235	210	148	205	149	142	55	220	155	212	197	109	80	81	155	68	341	121	327	70	251
gene-NWMN_RS05425	NC_009641.1	1073841	1074914	+	1074	419	357	302	363	276	287	109	347	229	374	383	223	215	156	342	185	567	188	525	197	449
gene-NWMN_RS05430	NC_009641.1	1074988	1076007	+	1020	1117	1917	2061	1095	767	733	261	1194	1348	1513	1731	610	523	475	980	514	2144	1754	1596	610	1473
gene-NWMN_RS05435	NC_009641.1	1076290	1076709	+	420	224	441	425	188	132	95	25	181	291	272	268	150	67	100	100	95	286	403	304	74	206
gene-NWMN_RS05440	NC_009641.1	1076791	1078143	-	1353	2863	7674	6154	3214	2054	2099	642	3199	4353	3663	4805	1775	979	1214	1842	1160	4355	5717	5089	1223	4078
gene-NWMN_RS05445	NC_009641.1	1078326	1078940	-	615	266	725	562	311	184	104	25	247	342	354	540	152	71	107	122	116	483	511	481	65	428
gene-NWMN_RS05450	NC_009641.1	1079097	1079924	+	828	770	638	676	463	241	193	101	386	512	374	493	290	145	162	328	277	432	719	527	194	400
gene-NWMN_RS05455	NC_009641.1	1080078	1080269	-	192	880	1081	734	461	209	139	89	418	721	424	533	238	138	149	291	207	445	631	1164	159	506
gene-NWMN_RS05460	NC_009641.1	1080371	1082218	+	1848	1559	3036	5646	3153	1319	1530	533	4564	5158	4166	4913	1151	859	1087	2044	981	5626	2479	5047	920	4105
gene-NWMN_RS05465	NC_009641.1	1082358	1082525	-	168	145	252	266	161	67	47	22	159	166	149	202	79	41	44	104	48	192	241	218	50	206
gene-NWMN_RS05470	NC_009641.1	1082527	1083009	-	483	242	483	404	238	121	92	27	197	282	241	341	141	68	87	134	87	280	342	407	78	289
gene-NWMN_RS05475	NC_009641.1	1083150	1083425	+	276	911	1553	845	889	427	354	119	658	755	776	1090	514	280	329	519	333	992	918	1741	262	916
gene-NWMN_RS05480	NC_009641.1	1083739	1084965	+	1227	910	2249	1641	720	506	446	165	662	1087	925	1452	411	241	317	427	338	1349	1987	1247	271	1051
gene-NWMN_RS05485	NC_009641.1	1085519	1088971	+	3453	1190	513	1460	1082	594	437	126	1111	900	934	651	890	417	433	870	763	1031	887	702	256	653
gene-NWMN_RS05490	NC_009641.1	1089111	1090022	-	912	1020	1472	1388	794	352	277	90	742	704	642	884	447	222	263	509	329	849	1179	942	171	754
