# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR3110979_sorted.bam" "SRR3110978_sorted.bam" "SRR3110971_sorted.bam" "SRR3110976_sorted.bam" "SRR3110977_sorted.bam" "SRR3110975_sorted.bam" "SRR3110972_sorted.bam" "SRR3110970_sorted.bam" "SRR3110973_sorted.bam" "SRR3110974_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3110979_sorted.bam	SRR3110978_sorted.bam	SRR3110971_sorted.bam	SRR3110976_sorted.bam	SRR3110977_sorted.bam	SRR3110975_sorted.bam	SRR3110972_sorted.bam	SRR3110970_sorted.bam	SRR3110973_sorted.bam	SRR3110974_sorted.bam
gene-Y11_RS03485	NC_017564.1	786651	788318	-	1668	897	1044	254	1028	1021	720	364	629	824	1048
gene-Y11_RS03490	NC_017564.1	788646	789407	-	762	963	1040	596	1136	1192	974	737	946	1078	1286
gene-Y11_RS03495	NC_017564.1	789519	790355	-	837	310	296	203	300	367	257	230	414	351	429
gene-Y11_RS03500	NC_017564.1	790593	790925	+	333	336	413	174	385	430	353	280	420	382	548
gene-Y11_RS03505	NC_017564.1	791036	791701	-	666	2555	2742	4014	4270	4039	4003	4317	7872	5513	5400
gene-Y11_RS03510	NC_017564.1	791951	792505	+	555	737	981	781	1082	1058	931	1039	1048	1315	1584
gene-Y11_RS03515	NC_017564.1	792714	793604	+	891	1295	1237	799	1390	1535	1269	1014	1815	1382	1364
gene-Y11_RS03520	NC_017564.1	793601	795082	-	1482	321	444	175	318	496	288	221	507	360	319
gene-Y11_RS03525	NC_017564.1	795108	795893	-	786	232	267	120	251	258	144	141	308	181	205
gene-Y11_RS03530	NC_017564.1	795907	796902	-	996	238	208	104	191	177	159	116	247	145	245
gene-Y11_RS03535	NC_017564.1	796895	799039	-	2145	477	447	177	413	591	428	211	440	353	435
gene-Y11_RS03540	NC_017564.1	799327	800196	-	870	1021	951	1066	967	1211	1010	1010	2573	1274	1441
gene-Y11_RS03545	NC_017564.1	800828	801703	-	876	1023	1170	1893	1417	1402	1507	2103	2020	2124	2220
gene-Y11_RS03550	NC_017564.1	801700	802584	-	885	866	962	2107	1181	1350	2011	2162	2235	2009	1731
gene-Y11_RS03555	NC_017564.1	802584	803474	-	891	1621	1479	4004	1851	1943	2371	3729	7122	3918	3049
gene-Y11_RS03560	NC_017564.1	803471	804439	-	969	1880	1875	5550	2817	2850	3277	5258	9578	5770	4321
gene-Y11_RS03565	NC_017564.1	804651	805313	+	663	808	707	1980	765	793	959	1927	2222	1492	1314
gene-Y11_RS03570	NC_017564.1	805676	806359	-	684	1330	1609	1771	1561	1673	1681	2097	2425	2374	2334
gene-Y11_RS03575	NC_017564.1	806798	807049	+	252	445	356	504	329	380	354	393	895	512	398
gene-Y11_RS03585	NC_017564.1	807522	807758	+	237	489	518	187	541	633	405	293	353	285	479
gene-Y11_RS03590	NC_017564.1	807824	808003	-	180	354	459	137	402	572	358	177	302	263	382
gene-Y11_RS03595	NC_017564.1	808528	809241	+	714	906	928	480	979	986	1081	623	800	870	1464
gene-Y11_RS03600	NC_017564.1	809361	809573	-	213	956	877	533	1103	1160	953	627	1147	960	1222
gene-Y11_RS03605	NC_017564.1	809897	811825	+	1929	89231	99633	102973	132034	127822	127875	108661	108346	156188	169405
gene-Y11_RS21460	NC_017564.1	811829	812380	+	552	211374	233237	188527	278228	274433	243081	211173	219255	271520	343125
gene-Y11_RS03615	NC_017564.1	812477	812674	+	198	136483	146034	138170	158980	184836	173382	148448	130541	185750	231491
gene-Y11_RS03620	NC_017564.1	812712	813068	+	357	98397	103213	104843	115609	134683	126860	112516	94168	138444	163779
gene-Y11_RS24010	NC_017564.1	813140	813184	+	45	162	169	221	157	216	223	213	160	237	226
gene-Y11_RS03625	NC_017564.1	813533	814516	+	984	15993	16116	31874	21129	21216	25356	35819	35120	37038	36552
gene-Y11_RS03630	NC_017564.1	814531	816918	+	2388	35535	37328	64859	51866	49068	56870	71217	83399	75838	83219
gene-Y11_RS03635	NC_017564.1	816923	817219	+	297	7470	8543	9254	11272	9999	9748	9929	12246	11347	14432
gene-Y11_RS03640	NC_017564.1	817432	817728	-	297	741	881	526	958	1072	812	672	677	929	1138
gene-Y11_RS03645	NC_017564.1	818599	819093	+	495	517	493	205	468	620	312	215	323	299	357
gene-Y11_RS03650	NC_017564.1	819266	820273	+	1008	1535	1667	1541	1794	1861	1673	2042	1818	1790	2024
gene-Y11_RS03655	NC_017564.1	820343	820897	+	555	1508	1564	2427	1849	1955	1905	2822	3857	2482	2513
gene-Y11_RS03660	NC_017564.1	820922	821680	+	759	948	992	716	994	1184	818	825	1634	975	1132
gene-Y11_RS03665	NC_017564.1	822027	823175	+	1149	3177	3261	10023	3414	3733	3966	7307	15253	6454	5212
gene-Y11_RS03670	NC_017564.1	823168	824151	+	984	3550	3816	14000	5668	4857	6833	12512	17142	11120	9329
gene-Y11_RS03675	NC_017564.1	824148	826181	+	2034	9737	12291	32070	17671	15761	21587	38176	53527	35695	32858
gene-Y11_RS03680	NC_017564.1	826178	827080	+	903	3981	4807	12032	6091	6051	8109	13649	15741	12790	11660
gene-Y11_RS03685	NC_017564.1	827080	828744	+	1665	3885	5261	13878	6505	5950	8374	14882	15997	13155	11762
gene-Y11_RS03690	NC_017564.1	828741	829085	+	345	570	804	1565	936	895	1023	1866	2236	1663	1468
gene-Y11_RS03695	NC_017564.1	829082	829468	+	387	621	753	1355	812	893	975	1792	2261	1524	1416
gene-Y11_RS03700	NC_017564.1	829731	830195	+	465	363	434	403	330	566	401	390	847	402	526
gene-Y11_RS03705	NC_017564.1	830442	831458	+	1017	1006	751	1395	930	1052	1096	1496	1933	1555	1345
gene-Y11_RS03710	NC_017564.1	831458	832957	+	1500	1766	1562	2686	1680	1935	2034	2404	2951	2503	2317
gene-Y11_RS03715	NC_017564.1	833017	833850	-	834	287	400	202	320	403	304	200	364	298	348
gene-Y11_RS03720	NC_017564.1	833843	834904	-	1062	320	395	230	338	576	350	228	546	333	415
gene-Y11_RS03725	NC_017564.1	835016	837052	-	2037	739	808	295	755	817	651	390	574	653	909
gene-Y11_RS03730	NC_017564.1	837168	837347	-	180	208	262	59	269	303	255	103	169	212	279
gene-Y11_RS03735	NC_017564.1	837602	838651	-	1050	943	988	1918	1165	1254	1205	1632	2190	1720	1726
gene-Y11_RS03740	NC_017564.1	838875	839696	-	822	228	283	294	277	310	270	306	724	319	353
gene-Y11_RS03745	NC_017564.1	839983	842364	+	2382	1779	1852	2208	2012	2375	2509	2419	3998	2947	3037
gene-Y11_RS21215	NC_017564.1	842565	842673	-	109	138	111	56	178	150	193	63	99	122	145
gene-Y11_RS03750	NC_017564.1	842925	844028	-	1104	608	658	937	909	945	841	1134	1431	1190	1364
gene-Y11_RS23905	NC_017564.1	844339	844470	-	132	94	142	58	115	124	162	98	123	148	121
gene-Y11_RS03755	NC_017564.1	844475	847531	+	3057	1198	1401	1723	1560	1788	1646	2079	2737	2132	2028
gene-Y11_RS03760	NC_017564.1	847754	848176	+	423	489	518	421	607	641	508	509	808	626	819
gene-Y11_RS03770	NC_017564.1	848925	849296	+	372	2057	2366	7786	3577	3119	4418	8361	9607	7542	6206
gene-Y11_RS03775	NC_017564.1	849311	850822	+	1512	11688	11737	33962	17986	16638	22489	37111	47617	35610	31923
gene-Y11_RS03780	NC_017564.1	850879	851625	+	747	6635	6633	20091	9914	9396	13963	22310	26972	21695	20386
gene-Y11_RS03785	NC_017564.1	851600	852913	+	1314	9886	10377	24429	14921	14121	20700	28668	31138	28925	27820
gene-Y11_RS03790	NC_017564.1	852910	854160	+	1251	7572	8409	16561	12150	11486	14353	20015	25228	21410	20937
gene-Y11_RS03795	NC_017564.1	854244	854666	+	423	884	918	2247	1301	1091	1592	2142	2698	2350	2083
gene-Y11_RS03800	NC_017564.1	854933	856000	+	1068	8751	8078	13421	10288	11942	12907	14521	11367	16522	16135
gene-Y11_RS03805	NC_017564.1	856233	856469	-	237	6278	11872	9963	10533	14838	11619	17342	34492	19222	30297
gene-Y11_RS03810	NC_017564.1	856789	858201	-	1413	23787	23969	37927	31815	33085	36982	39880	37713	48458	47224
gene-Y11_RS03815	NC_017564.1	858719	858795	-	77	1990	1544	389	1475	1716	1555	576	824	951	1381
gene-Y11_RS03820	NC_017564.1	858838	858914	-	77	1592	1344	319	1248	1540	1189	488	813	849	1249
gene-Y11_RS03825	NC_017564.1	859263	860636	-	1374	2346	2199	2514	3000	3070	3047	2844	2580	3568	3883
gene-Y11_RS03830	NC_017564.1	861011	861664	+	654	3756	4959	5411	6337	6109	5988	6446	7841	7993	9640
gene-Y11_RS03835	NC_017564.1	861724	862875	-	1152	1797	1440	2031	1651	1797	1613	2052	4027	2264	2144
gene-Y11_RS03840	NC_017564.1	863183	864400	-	1218	3458	2239	1874	2268	2543	1967	1846	1976	2500	2666
gene-Y11_RS03845	NC_017564.1	864691	865629	+	939	295	390	237	316	446	292	294	579	371	417
gene-Y11_RS03850	NC_017564.1	865666	866691	-	1026	1051	1200	1389	1437	1661	1396	1577	1555	1910	2061
gene-Y11_RS22720	NC_017564.1	867024	867113	+	90	96	152	40	161	119	170	71	129	121	130
gene-Y11_RS03855	NC_017564.1	867217	867795	-	579	1148	1189	861	1346	1301	1299	1079	1445	2086	1613
gene-Y11_RS03860	NC_017564.1	868046	868936	-	891	963	1053	1576	1133	1302	1145	1359	3390	1470	1463
gene-Y11_RS03865	NC_017564.1	869370	869720	+	351	4310	6093	6688	7167	7638	7016	8264	9267	9505	12844
gene-Y11_RS03870	NC_017564.1	869852	870259	-	408	3024	2873	3849	3832	3220	3255	4381	5155	5178	5380
gene-Y11_RS03875	NC_017564.1	870441	871538	-	1098	6547	5222	5652	4776	5956	4835	6649	8085	6864	6796
gene-Y11_RS03880	NC_017564.1	871608	872216	-	609	3449	2680	1587	2140	2950	1649	1668	1416	1741	2020
gene-Y11_RS03885	NC_017564.1	872338	873969	-	1632	596	785	459	646	813	622	447	888	705	654
gene-Y11_RS03890	NC_017564.1	874260	874499	+	240	190	194	154	205	196	217	192	333	246	210
gene-Y11_RS03895	NC_017564.1	874636	875532	+	897	1244	1433	1897	1908	1805	2031	1991	2741	2581	2970
gene-Y11_RS03900	NC_017564.1	875557	877581	-	2025	638	509	351	519	673	451	379	764	531	541
gene-Y11_RS03905	NC_017564.1	877584	878441	-	858	508	521	383	573	625	475	424	825	507	665
gene-Y11_RS03910	NC_017564.1	878448	878684	-	237	7789	8119	4334	9967	9052	8746	5722	5493	8322	9392
gene-Y11_RS03915	NC_017564.1	878865	879296	+	432	7656	9236	6546	10900	10600	10133	8311	11966	11195	13399
gene-Y11_RS03920	NC_017564.1	879417	879884	-	468	5795	6834	10807	8445	8406	6855	11144	13261	11113	11892
gene-Y11_RS03925	NC_017564.1	880329	881441	+	1113	819	862	979	931	1271	926	1095	2012	1095	1252
gene-Y11_RS03930	NC_017564.1	881497	881814	+	318	593	630	460	641	762	521	530	1243	702	678
gene-Y11_RS03935	NC_017564.1	881922	882575	+	654	1574	1585	2483	1757	1827	1853	2802	4564	2986	2534
gene-Y11_RS03940	NC_017564.1	882691	883965	+	1275	4947	5792	11093	6840	7276	8383	12968	13452	13135	12689
gene-Y11_RS03945	NC_017564.1	884040	884900	+	861	1241	1427	2858	1911	1985	2301	3354	3491	3244	3329
gene-Y11_RS03950	NC_017564.1	884952	885560	-	609	4667	4704	7175	6718	5867	7077	7855	8793	8134	8922
gene-Y11_RS03960	NC_017564.1	886190	886780	-	591	229	220	113	220	296	210	110	321	141	212
gene-Y11_RS03965	NC_017564.1	887002	887355	+	354	744	716	777	1016	1224	885	857	1458	1161	1303
gene-Y11_RS03970	NC_017564.1	887742	889265	-	1524	5336	5985	12951	7922	9059	10362	13538	10810	14197	13588
gene-Y11_RS03975	NC_017564.1	889804	890709	+	906	1855	2149	2025	2479	2473	2353	2639	3015	2891	3597
gene-Y11_RS03980	NC_017564.1	890731	891942	-	1212	2906	2216	3210	2547	2951	2774	3392	4983	3908	3913
gene-Y11_RS23910	NC_017564.1	892017	892142	+	126	364	340	369	374	354	343	347	617	461	477
gene-Y11_RS03990	NC_017564.1	892342	893157	-	816	519	471	734	493	542	495	758	1082	772	684
gene-Y11_RS03995	NC_017564.1	893157	894149	-	993	656	580	1358	621	713	638	1268	1825	1147	1086
gene-Y11_RS04000	NC_017564.1	894149	895039	-	891	493	500	872	438	488	490	894	1058	747	704
gene-Y11_RS04005	NC_017564.1	895026	895991	-	966	604	686	1054	488	742	673	1034	1164	903	823
gene-Y11_RS04010	NC_017564.1	895988	897661	-	1674	1369	1391	1591	1377	1681	1418	1459	2057	1663	1682
gene-Y11_RS04015	NC_017564.1	897950	898969	+	1020	1216	1358	1242	1347	1614	1354	1322	1971	1532	1782
gene-Y11_RS04025	NC_017564.1	899814	900587	+	774	194	378	70	287	305	182	119	229	230	295
gene-Y11_RS04030	NC_017564.1	900627	900974	+	348	167	268	57	171	231	138	92	255	174	180
gene-Y11_RS04035	NC_017564.1	901019	902029	-	1011	707	721	603	820	1005	886	695	1889	936	1074
gene-Y11_RS04040	NC_017564.1	902219	902884	+	666	16142	16626	1981	16642	19220	12544	3065	2412	7115	15661
gene-Y11_RS04045	NC_017564.1	903046	903273	+	228	3273	2921	634	2975	3841	2510	909	596	1430	2660
gene-Y11_RS04050	NC_017564.1	903273	903677	+	405	3903	3442	920	3739	4429	2823	1183	929	1725	3018
gene-Y11_RS04055	NC_017564.1	903723	903962	+	240	1937	1685	554	1978	2060	1259	824	733	847	1418
gene-Y11_RS04060	NC_017564.1	903943	905340	+	1398	3259	2758	1979	3031	3308	2315	2607	2492	2504	3036
gene-Y11_RS04065	NC_017564.1	905337	906401	+	1065	1848	1654	1200	1619	1946	1529	1504	2041	1789	1917
gene-Y11_RS04070	NC_017564.1	906404	906772	-	369	4071	4252	3162	4878	5676	4607	3767	9269	5406	6703
gene-Y11_RS04075	NC_017564.1	907171	908748	+	1578	5074	4857	8949	5866	6382	7124	9110	13060	9968	9254
gene-Y11_RS04080	NC_017564.1	908995	909498	-	504	5686	6572	8950	8484	8625	7308	10038	15334	10561	11569
gene-Y11_RS04085	NC_017564.1	909651	910622	+	972	1142	1047	1396	1419	1432	1220	1436	2479	1769	1741
gene-Y11_RS04090	NC_017564.1	910619	911326	-	708	888	771	1074	894	997	828	1051	2254	1178	1220
gene-Y11_RS04095	NC_017564.1	911612	913228	+	1617	3288	3609	7277	4646	4328	5165	6973	14177	7573	6621
gene-Y11_RS04100	NC_017564.1	913665	914648	+	984	1736	1635	2019	1982	2052	1727	2125	2924	2309	2590
gene-Y11_RS04105	NC_017564.1	914968	915909	-	942	2660	2305	4701	3040	3088	3582	4370	5252	5200	4489
gene-Y11_RS23650	NC_017564.1	916048	916248	-	201	71	81	28	100	83	51	49	102	58	49
gene-Y11_RS04110	NC_017564.1	916238	916903	-	666	298	419	124	428	474	335	180	342	313	349
gene-Y11_RS04115	NC_017564.1	917100	920633	-	3534	3990	3434	4416	4021	4472	4395	4899	5819	5423	5656
gene-Y11_RS04120	NC_017564.1	921011	921343	+	333	1822	1978	2124	2367	2237	1572	2003	2114	2066	2247
gene-Y11_RS04125	NC_017564.1	921489	922148	-	660	1000	713	540	897	1080	934	678	808	938	1032
gene-Y11_RS04130	NC_017564.1	922387	922704	+	318	427	350	325	390	480	483	366	554	443	511
gene-Y11_RS04135	NC_017564.1	922835	923827	-	993	3242	2933	2748	3770	3906	4045	3888	4200	4416	5224
gene-Y11_RS04140	NC_017564.1	924101	926734	+	2634	1547	1724	1515	1961	1982	2015	2056	1948	2114	2616
gene-Y11_RS04145	NC_017564.1	926731	926925	+	195	471	623	412	678	611	686	616	608	699	900
gene-Y11_RS04150	NC_017564.1	926935	927306	+	372	745	919	618	993	902	854	836	1046	1071	1394
gene-Y11_RS04155	NC_017564.1	927636	928241	-	606	2007	2106	4147	2874	2987	3294	4245	6376	4628	4709
gene-Y11_RS04160	NC_017564.1	928586	932473	+	3888	4657	4517	8690	5594	5706	6810	9594	11762	9720	9165
gene-Y11_RS04165	NC_017564.1	932811	933140	+	330	170	306	94	247	344	181	187	353	171	328
gene-Y11_RS04170	NC_017564.1	933137	933460	+	324	251	196	91	176	259	161	156	207	116	244
gene-Y11_RS04175	NC_017564.1	933516	934358	-	843	457	418	304	403	492	369	338	691	424	490
gene-Y11_RS04180	NC_017564.1	934759	935034	-	276	784	850	633	949	1026	948	769	1279	1206	1243
gene-Y11_RS04190	NC_017564.1	936205	937512	-	1308	760	690	1345	905	962	993	1366	1705	1474	1207
gene-Y11_RS04195	NC_017564.1	937509	938237	-	729	965	1004	1605	1248	1390	1256	1617	2312	1750	1757
gene-Y11_RS04200	NC_017564.1	938480	938896	+	417	430	494	352	486	588	518	432	810	668	630
gene-Y11_RS04205	NC_017564.1	938967	940358	-	1392	695	766	642	727	939	755	726	944	857	1080
gene-Y11_RS04210	NC_017564.1	940621	941574	-	954	6796	6309	9656	7637	7764	7858	9821	13239	11522	10109
gene-Y11_RS04220	NC_017564.1	942107	943633	+	1527	8209	7650	14866	10464	10469	13814	16612	16788	17658	17070
gene-Y11_RS04225	NC_017564.1	943754	945145	+	1392	6907	7655	13522	10897	10431	13533	14411	15371	17582	17532
gene-Y11_RS04230	NC_017564.1	945511	946467	-	957	1352	1336	1154	1482	1753	1546	1534	2386	1748	1939
gene-Y11_RS04235	NC_017564.1	946704	947459	-	756	3212	3486	5718	4783	5128	4266	5804	7963	6559	6683
gene-Y11_RS04240	NC_017564.1	947532	948050	-	519	500	643	932	684	628	613	920	1395	949	1056
gene-Y11_RS04245	NC_017564.1	948301	949089	+	789	351	327	544	349	377	321	430	1196	462	471
gene-Y11_RS04250	NC_017564.1	949246	949764	+	519	480	389	391	393	387	389	356	711	472	448
gene-Y11_RS04255	NC_017564.1	949861	950334	+	474	707	645	729	780	863	647	775	1452	1008	1005
gene-Y11_RS04260	NC_017564.1	950550	951290	+	741	807	783	1143	825	935	932	1307	1985	1283	1321
gene-Y11_RS04265	NC_017564.1	951469	952899	+	1431	779	924	730	969	986	903	898	1179	1058	1215
gene-Y11_RS04270	NC_017564.1	953179	954108	+	930	179	316	69	152	246	188	103	248	175	190
gene-Y11_RS04280	NC_017564.1	955658	958033	+	2376	721	761	535	786	1030	621	598	1060	715	831
gene-Y11_RS04285	NC_017564.1	958143	958817	+	675	929	836	2012	1020	1042	1061	1788	2455	1937	1584
gene-Y11_RS04290	NC_017564.1	958933	959238	-	306	292	215	183	166	315	215	204	271	274	284
gene-Y11_RS23940	NC_017564.1	960976	961089	-	114	62	60	37	52	70	52	59	125	81	99
gene-Y11_RS04300	NC_017564.1	961459	962253	+	795	308	417	488	388	356	412	528	714	576	542
gene-Y11_RS04305	NC_017564.1	962332	963108	+	777	621	812	969	787	779	914	1096	1925	1126	1173
gene-Y11_RS04310	NC_017564.1	963205	965631	-	2427	525	545	316	496	672	480	372	706	456	653
gene-Y11_RS04315	NC_017564.1	965628	968678	-	3051	650	809	417	762	1019	694	449	816	616	869
gene-Y11_RS04340	NC_017564.1	971445	972803	-	1359	325	445	138	342	452	279	180	330	277	353
gene-Y11_RS04345	NC_017564.1	972982	973794	-	813	218	224	190	202	222	281	220	340	216	278
gene-Y11_RS04350	NC_017564.1	973934	974929	-	996	286	371	427	353	449	339	416	984	439	384
gene-Y11_RS23660	NC_017564.1	976653	976814	-	162	157	236	158	261	246	197	121	278	174	211
gene-Y11_RS04370	NC_017564.1	977705	978187	+	483	433	573	882	672	676	635	866	1780	1120	971
gene-Y11_RS04375	NC_017564.1	978267	979121	-	855	622	688	592	544	804	553	594	1872	632	842
gene-Y11_RS04380	NC_017564.1	979235	980224	+	990	391	356	237	285	429	407	346	411	425	455
gene-Y11_RS23915	NC_017564.1	980256	980384	-	129	116	115	54	81	125	103	84	98	86	143
gene-Y11_RS04385	NC_017564.1	980613	981371	+	759	344	242	137	195	285	200	155	297	195	270
gene-Y11_RS04395	NC_017564.1	981885	982607	+	723	101	175	88	162	146	140	114	167	100	181
gene-Y11_RS04400	NC_017564.1	982666	983121	-	456	221	265	190	214	225	161	253	432	271	303
gene-Y11_RS04405	NC_017564.1	983136	984233	+	1098	266	237	150	237	264	196	167	391	292	289
gene-Y11_RS04410	NC_017564.1	984398	984919	+	522	783	680	650	832	938	923	768	859	1084	1148
gene-Y11_RS04415	NC_017564.1	985251	986279	+	1029	314	332	322	350	472	367	397	585	473	517
gene-Y11_RS04420	NC_017564.1	986263	987423	+	1161	295	400	291	334	468	322	282	671	430	433
gene-Y11_RS04425	NC_017564.1	987473	988324	-	852	947	985	1878	1203	1464	1492	2093	2503	4051	2412
gene-Y11_RS04430	NC_017564.1	988486	989832	+	1347	566	857	338	646	978	667	459	801	718	984
gene-Y11_RS04435	NC_017564.1	989887	991062	-	1176	1287	1293	1914	1470	1621	1710	2019	3752	2275	2075
gene-Y11_RS04440	NC_017564.1	991893	992873	-	981	1	2	2	0	2	1	1	0	2	4
gene-Y11_RS04445	NC_017564.1	992877	993164	-	288	1	0	2	0	0	0	0	0	0	0
gene-Y11_RS04450	NC_017564.1	993177	994739	-	1563	344	363	86	405	345	284	124	273	214	322
gene-Y11_RS04455	NC_017564.1	994954	995187	-	234	121	142	43	123	156	138	78	163	111	195
gene-Y11_RS04460	NC_017564.1	995222	995473	-	252	154	206	79	265	252	205	163	222	212	299
gene-Y11_RS04465	NC_017564.1	995476	995793	-	318	153	222	81	272	231	145	124	213	166	219
gene-Y11_RS04470	NC_017564.1	995805	996857	-	1053	911	1089	881	1045	1011	806	840	1689	1161	1009
gene-Y11_RS04475	NC_017564.1	997025	997477	+	453	1429	1358	2311	1340	1490	1527	2453	3967	2368	2247
gene-Y11_RS04480	NC_017564.1	997779	998231	+	453	1816	1680	2997	1756	1829	1914	3090	5176	2985	2900
gene-Y11_RS04485	NC_017564.1	998316	998714	+	399	1617	1517	2950	1683	1820	1964	3246	5091	3305	3279
gene-Y11_RS04490	NC_017564.1	998717	999079	+	363	1489	1498	2186	1700	1698	1948	2571	4608	3217	3077
gene-Y11_RS04495	NC_017564.1	999583	999891	-	309	843	909	467	1058	1159	967	644	684	1161	1239
gene-Y11_RS04500	NC_017564.1	1000090	1001352	-	1263	482	640	333	672	821	496	480	474	651	838
gene-Y11_RS04505	NC_017564.1	1001349	1002383	-	1035	251	319	139	357	365	261	207	349	276	291
gene-Y11_RS04510	NC_017564.1	1002387	1002635	-	249	155	191	42	149	194	116	59	160	145	85
gene-Y11_RS23945	NC_017564.1	1002601	1002732	+	132	41	89	10	65	103	68	33	62	50	72
gene-Y11_RS04515	NC_017564.1	1002713	1003021	+	309	200	220	101	208	292	203	115	236	161	255
gene-Y11_RS04520	NC_017564.1	1003118	1003300	+	183	413	497	353	585	544	499	363	583	571	540
gene-Y11_RS04525	NC_017564.1	1003330	1003680	+	351	379	674	438	671	594	566	572	812	738	767
gene-Y11_RS04530	NC_017564.1	1003724	1004107	+	384	476	660	358	630	599	480	597	699	577	796
gene-Y11_RS23920	NC_017564.1	1004916	1005050	+	135	166	206	189	239	276	177	204	349	286	229
gene-Y11_RS04545	NC_017564.1	1005136	1005885	+	750	847	995	1460	1146	1311	1181	1588	2755	1728	1691
gene-Y11_RS04550	NC_017564.1	1005916	1006242	-	327	189	246	107	213	278	220	178	249	135	330
gene-Y11_RS04560	NC_017564.1	1006643	1007014	+	372	5542	5511	2374	6676	7026	5286	3147	3015	5267	7098
gene-Y11_RS04565	NC_017564.1	1007106	1007351	+	246	1505	1507	718	1914	1859	1646	1129	1428	1994	2197
gene-Y11_RS04570	NC_017564.1	1007427	1007708	-	282	398	414	131	428	360	314	192	406	360	312
gene-Y11_RS04575	NC_017564.1	1008006	1009286	+	1281	696	662	452	640	834	599	495	666	692	836
gene-Y11_RS04580	NC_017564.1	1009307	1009975	-	669	711	537	470	499	588	477	476	824	535	525
gene-Y11_RS04585	NC_017564.1	1010198	1011415	-	1218	949	901	1924	861	950	873	1433	3019	1242	1064
gene-Y11_RS04590	NC_017564.1	1011636	1012547	-	912	591	672	844	815	909	692	1008	1961	1042	1076
gene-Y11_RS04595	NC_017564.1	1012723	1014015	+	1293	981	911	1725	1242	1240	1155	1697	2320	1743	1653
gene-Y11_RS04600	NC_017564.1	1014203	1014592	+	390	1740	1752	3908	2739	2206	2710	4029	7978	4769	3594
gene-Y11_RS04605	NC_017564.1	1014817	1015701	+	885	994	1106	2779	1356	1497	1755	2967	3177	2884	2250
gene-Y11_RS04610	NC_017564.1	1015864	1016793	+	930	385	518	730	521	639	537	580	1385	727	741
gene-Y11_RS04615	NC_017564.1	1016879	1017598	-	720	288	345	153	286	372	235	176	473	282	225
gene-Y11_RS04620	NC_017564.1	1018052	1019071	+	1020	1549	1580	1416	1846	2044	1670	1641	2562	1956	2278
gene-Y11_RS04625	NC_017564.1	1019471	1020865	-	1395	2321	2471	4055	3858	3725	4082	4746	6734	5465	5528
gene-Y11_RS04630	NC_017564.1	1021091	1022266	+	1176	2466	2584	5581	3353	3415	4246	6511	7334	6382	5667
gene-Y11_RS04635	NC_017564.1	1022498	1024114	+	1617	16805	16672	28832	24170	25047	28105	31968	39696	37167	35744
gene-Y11_RS04640	NC_017564.1	1024184	1024849	+	666	357	291	390	380	433	344	415	768	436	444
gene-Y11_RS04655	NC_017564.1	1026228	1027406	+	1179	554	485	408	661	644	514	481	752	598	726
gene-Y11_RS04660	NC_017564.1	1027586	1028584	+	999	3085	2712	3591	2898	3259	2778	3976	3825	3607	4018
gene-Y11_RS04665	NC_017564.1	1028734	1029747	-	1014	1783	1942	3396	2542	2837	3070	3983	4065	4207	4095
gene-Y11_RS04670	NC_017564.1	1029797	1030846	-	1050	2427	2550	4564	3002	3279	3585	5078	8264	5427	5172
gene-Y11_RS04675	NC_017564.1	1030948	1031880	-	933	1342	1321	2318	1432	1527	1838	2303	5422	2833	2382
gene-Y11_RS04685	NC_017564.1	1033079	1034551	-	1473	288	342	272	374	466	384	381	605	449	567
gene-Y11_RS04690	NC_017564.1	1034630	1035613	-	984	365	397	317	377	491	393	365	554	463	426
gene-Y11_RS04695	NC_017564.1	1036192	1037907	+	1716	346	278	161	321	332	279	240	468	310	308
gene-Y11_RS04700	NC_017564.1	1037965	1039467	+	1503	1203	837	703	1015	1195	1067	887	1206	1092	1134
gene-Y11_RS04705	NC_017564.1	1039738	1040916	-	1179	8984	9033	7123	9411	10616	9214	9049	9876	10532	11638
gene-Y11_RS04725	NC_017564.1	1043657	1045600	-	1944	311	398	132	383	499	352	146	527	298	320
gene-Y11_RS04730	NC_017564.1	1045980	1047737	+	1758	1021	1014	1414	1098	1221	1196	1601	1982	1779	1582
gene-Y11_RS04735	NC_017564.1	1047805	1048248	+	444	794	960	1095	1251	1206	1147	1355	1244	1386	1495
gene-Y11_RS04740	NC_017564.1	1048580	1049161	+	582	2984	2641	1789	2778	3158	2744	1892	1127	2241	3244
gene-Y11_RS04745	NC_017564.1	1049161	1049784	+	624	1402	1153	1523	1166	1413	1087	1288	1472	1171	1387
gene-Y11_RS04750	NC_017564.1	1049777	1051633	+	1857	1821	1568	2807	1540	1833	1456	2418	3376	2096	2068
gene-Y11_RS04755	NC_017564.1	1051805	1052296	-	492	1835	2802	1837	3060	3380	2759	2941	3962	4629	6485
gene-Y11_RS04760	NC_017564.1	1052440	1053351	-	912	745	834	1250	1058	1039	1025	1340	1845	1333	1523
gene-Y11_RS04765	NC_017564.1	1053845	1054939	+	1095	977	925	1513	961	1253	1034	1514	1314	1513	1480
gene-Y11_RS04770	NC_017564.1	1054949	1055578	+	630	839	850	1529	1125	1147	1189	1688	1720	1885	1662
