# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR7542856_sorted.bam" "SRR7542872_sorted.bam" "SRR7542865_sorted.bam" "SRR7542867_sorted.bam" "SRR7542866_sorted.bam" "SRR7542855_sorted.bam" "SRR7542868_sorted.bam" "SRR7542860_sorted.bam" "SRR7542858_sorted.bam" "SRR7542863_sorted.bam" "SRR7542861_sorted.bam" "SRR7542857_sorted.bam" "SRR7542869_sorted.bam" "SRR7542870_sorted.bam" "SRR7542864_sorted.bam" "SRR7542859_sorted.bam" "SRR7542862_sorted.bam" "SRR7542871_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR7542856_sorted.bam	SRR7542872_sorted.bam	SRR7542865_sorted.bam	SRR7542867_sorted.bam	SRR7542866_sorted.bam	SRR7542855_sorted.bam	SRR7542868_sorted.bam	SRR7542860_sorted.bam	SRR7542858_sorted.bam	SRR7542863_sorted.bam	SRR7542861_sorted.bam	SRR7542857_sorted.bam	SRR7542869_sorted.bam	SRR7542870_sorted.bam	SRR7542864_sorted.bam	SRR7542859_sorted.bam	SRR7542862_sorted.bam	SRR7542871_sorted.bam
gene-AUO97_RS03055	NZ_CP018664.1	674989	675525	-	537	67	4	18	9	9	89	12	125	111	103	56	94	3	4	12	87	81	2
gene-AUO97_RS03060	NZ_CP018664.1	675586	675948	-	363	178	16	60	11	29	205	25	300	278	259	115	223	22	11	73	274	174	8
gene-AUO97_RS03065	NZ_CP018664.1	675972	676355	-	384	153	13	47	9	22	172	18	250	199	199	72	172	13	11	55	221	169	3
gene-AUO97_RS03070	NZ_CP018664.1	676638	677276	+	639	10	5	6	1	0	17	2	16	25	9	4	17	1	0	4	10	4	0
gene-AUO97_RS03075	NZ_CP018664.1	677336	678454	+	1119	315	17	95	31	45	351	35	495	441	445	232	333	33	13	127	429	338	8
gene-AUO97_RS03080	NZ_CP018664.1	678470	681568	+	3099	1027	109	348	100	248	1206	111	1370	1454	1359	782	1082	173	67	495	1341	1109	46
gene-AUO97_RS03085	NZ_CP018664.1	681627	683342	+	1716	2293	323	775	371	565	2627	432	3054	2984	2803	1582	2459	404	228	1091	3039	2257	137
gene-AUO97_RS03090	NZ_CP018664.1	683396	683737	-	342	277	115	266	107	200	407	159	303	454	447	267	217	110	56	260	425	375	48
gene-AUO97_RS03095	NZ_CP018664.1	683949	684293	-	345	107	0	15	2	5	87	3	101	106	49	30	108	2	0	13	90	76	0
gene-AUO97_RS03100	NZ_CP018664.1	684384	684740	-	357	27	2	8	0	0	34	3	27	30	37	20	18	0	1	5	43	29	3
gene-AUO97_RS03105	NZ_CP018664.1	684882	685331	-	450	169	34	235	130	89	308	163	215	398	305	267	133	53	44	206	321	304	21
gene-AUO97_RS03110	NZ_CP018664.1	685548	686270	+	723	436	18	122	31	34	449	34	561	574	616	398	429	25	18	166	590	503	13
gene-AUO97_RS03115	NZ_CP018664.1	686416	687126	+	711	846	31	256	61	108	1017	94	999	1318	966	729	685	62	22	334	1326	1059	23
gene-AUO97_RS03120	NZ_CP018664.1	687309	688133	+	825	672	34	294	131	112	784	145	817	912	672	531	556	82	47	366	988	758	39
gene-AUO97_RS03125	NZ_CP018664.1	688167	689090	-	924	220	17	111	25	32	242	26	211	299	213	179	156	24	10	128	251	222	15
gene-AUO97_RS03130	NZ_CP018664.1	689156	690265	-	1110	733	158	725	232	324	1057	254	847	1187	1826	1319	699	174	140	967	1110	1622	105
gene-AUO97_RS03135	NZ_CP018664.1	690275	692479	-	2205	313	51	211	67	123	430	89	375	452	570	358	359	73	35	294	467	484	31
gene-AUO97_RS03140	NZ_CP018664.1	692612	693178	-	567	133	28	64	33	27	153	52	123	127	163	94	131	29	13	92	130	133	14
gene-AUO97_RS03145	NZ_CP018664.1	693254	694078	+	825	448	43	182	54	76	536	50	559	564	498	280	495	47	35	225	590	395	19
gene-AUO97_RS03150	NZ_CP018664.1	694098	694388	+	291	236	31	110	27	50	268	25	271	276	274	135	236	34	21	127	318	225	12
gene-AUO97_RS03155	NZ_CP018664.1	694399	694752	-	354	155	29	70	24	27	168	22	223	195	214	103	143	27	8	103	225	143	8
gene-AUO97_RS03160	NZ_CP018664.1	694895	695326	-	432	1374	400	1057	616	766	1408	785	1225	1613	1998	1195	1062	560	348	1192	1654	1969	226
gene-AUO97_RS03165	NZ_CP018664.1	695582	697417	-	1836	11001	1418	1987	1061	1906	12355	1339	13556	12628	5951	4428	11864	1516	766	2448	14802	6371	552
gene-AUO97_RS03170	NZ_CP018664.1	697596	698954	+	1359	620	24	69	22	43	609	29	992	686	482	309	700	21	13	85	847	488	10
gene-AUO97_RS03175	NZ_CP018664.1	699017	700030	+	1014	643	47	121	42	73	754	64	985	763	470	325	865	56	22	136	889	422	22
gene-AUO97_RS03180	NZ_CP018664.1	700052	701512	+	1461	1190	72	179	89	158	1293	90	1743	1375	976	673	1466	96	43	257	1634	884	39
gene-AUO97_RS03185	NZ_CP018664.1	701788	702993	+	1206	272	29	49	20	32	323	18	201	292	123	96	249	17	11	49	274	147	16
gene-AUO97_RS19545	NZ_CP018664.1	702997	703155	+	159	61	3	14	3	8	60	3	47	59	18	20	47	5	1	13	63	43	6
gene-AUO97_RS03195	NZ_CP018664.1	703280	704350	-	1071	81953	45356	69640	38813	56666	100011	48820	88640	104953	129815	77851	72648	49418	29861	84874	105129	111288	22185
gene-AUO97_RS03200	NZ_CP018664.1	704732	705247	+	516	802	422	604	358	683	1000	458	1196	1353	1290	752	957	519	226	656	1171	1074	147
gene-AUO97_RS03205	NZ_CP018664.1	705356	706531	+	1176	656	64	457	105	190	753	119	902	887	997	587	724	90	46	475	926	753	65
gene-AUO97_RS03210	NZ_CP018664.1	706658	707101	+	444	459	102	444	278	261	715	329	449	849	744	541	317	169	128	531	726	765	87
gene-AUO97_RS03215	NZ_CP018664.1	707144	707497	-	354	46	5	41	16	16	86	8	48	81	86	48	36	16	5	47	62	78	1
gene-AUO97_RS03220	NZ_CP018664.1	707580	708065	-	486	496	88	153	58	136	755	91	799	774	652	416	546	101	48	232	812	640	37
gene-AUO97_RS03225	NZ_CP018664.1	708058	709701	-	1644	1170	106	254	88	194	1530	109	1774	1639	1259	790	1152	119	68	366	2095	1178	40
gene-AUO97_RS03230	NZ_CP018664.1	709868	712273	-	2406	10899	3057	5325	2267	4712	12303	2707	13371	14361	13911	7643	9807	3441	1457	6777	14863	11949	1060
gene-AUO97_RS03235	NZ_CP018664.1	712447	713679	-	1233	6349	996	3082	1060	2316	7152	1210	7877	8418	9560	5414	5816	1315	561	3682	8622	8300	463
gene-AUO97_RS03240	NZ_CP018664.1	713835	714953	-	1119	119	25	63	26	51	119	33	111	172	122	81	103	17	11	101	117	125	14
gene-AUO97_RS03245	NZ_CP018664.1	715164	716174	+	1011	1336	120	434	161	243	1688	181	1700	1840	1794	961	1286	157	109	586	1796	1541	59
gene-AUO97_RS03250	NZ_CP018664.1	716346	717551	+	1206	232	24	150	27	64	296	52	354	355	364	227	209	53	24	204	300	366	20
gene-AUO97_RS03255	NZ_CP018664.1	717572	719707	+	2136	403	98	270	79	154	493	96	509	596	700	367	379	98	62	312	516	589	42
gene-AUO97_RS03260	NZ_CP018664.1	719872	720126	+	255	206	10	36	14	14	185	4	163	188	129	72	176	5	3	39	163	112	2
gene-AUO97_RS03265	NZ_CP018664.1	720142	721002	+	861	329	21	74	31	36	312	20	341	364	228	134	309	20	10	70	351	194	7
gene-AUO97_RS03270	NZ_CP018664.1	721032	721451	-	420	73	7	24	12	11	62	17	81	88	77	43	55	3	10	16	86	50	3
gene-AUO97_RS03275	NZ_CP018664.1	721464	722675	-	1212	154	13	33	32	21	135	22	169	158	138	70	128	16	13	26	159	132	11
gene-AUO97_RS03280	NZ_CP018664.1	722802	723443	+	642	426	8	86	26	34	462	45	418	442	542	314	401	17	9	93	504	507	9
gene-AUO97_RS03285	NZ_CP018664.1	723578	724888	+	1311	983	75	298	66	138	1106	81	1413	1347	1399	884	1001	72	37	356	1392	1269	43
gene-AUO97_RS03290	NZ_CP018664.1	724955	725398	-	444	1920	136	996	393	469	2595	409	3112	3190	4328	2520	2007	260	163	1281	3441	3640	113
gene-AUO97_RS03295	NZ_CP018664.1	725529	728252	-	2724	5275	797	1845	614	1356	6419	703	6196	6246	6768	3698	5337	882	384	2532	6555	5465	320
gene-AUO97_RS03300	NZ_CP018664.1	728660	729301	+	642	2467	480	2669	1093	1395	4403	1358	2784	5083	3645	3345	1904	783	457	3231	4602	3980	322
gene-AUO97_RS03305	NZ_CP018664.1	729606	730418	+	813	107	7	51	13	22	143	17	175	191	183	108	140	12	7	61	173	143	6
gene-AUO97_RS03310	NZ_CP018664.1	730415	730993	+	579	84	3	21	9	12	96	11	135	134	117	52	103	7	6	14	113	91	1
gene-AUO97_RS03315	NZ_CP018664.1	731013	732083	-	1071	1290	110	364	113	221	1530	153	1977	1771	1771	1019	1345	147	75	439	1788	1612	46
gene-AUO97_RS03320	NZ_CP018664.1	732074	733360	-	1287	2170	195	570	244	381	2535	298	3207	2776	3380	1853	2456	275	149	771	2996	2629	99
gene-AUO97_RS03325	NZ_CP018664.1	733357	734253	-	897	4697	459	1364	553	1117	5616	586	7288	5914	8022	4259	5628	679	348	1814	6688	6033	226
gene-AUO97_RS03330	NZ_CP018664.1	734250	735053	-	804	5183	665	1643	804	1375	5983	918	7798	6434	7776	4457	6479	940	491	2042	7157	6199	346
gene-AUO97_RS03335	NZ_CP018664.1	735298	736347	-	1050	103	12	17	8	15	94	15	96	104	105	56	98	6	5	33	98	66	10
gene-AUO97_RS03340	NZ_CP018664.1	736468	737343	+	876	91	12	28	17	23	68	28	137	121	122	63	96	16	10	41	104	113	9
gene-AUO97_RS03345	NZ_CP018664.1	737352	738347	-	996	114	8	23	18	12	116	17	170	175	150	75	149	8	7	33	180	101	5
gene-AUO97_RS03350	NZ_CP018664.1	738385	738897	-	513	311	20	84	28	47	314	39	420	369	308	209	366	45	22	110	437	288	11
gene-AUO97_RS03355	NZ_CP018664.1	738907	740136	-	1230	1391	75	323	97	216	1496	133	1853	1731	1499	807	1465	113	61	458	1811	1190	39
gene-AUO97_RS03360	NZ_CP018664.1	740120	740779	-	660	730	40	206	67	91	800	93	854	855	595	370	774	58	28	226	903	564	16
gene-AUO97_RS03365	NZ_CP018664.1	741148	743022	+	1875	329	17	25	6	12	275	16	429	369	248	138	321	7	3	36	367	209	5
gene-AUO97_RS03370	NZ_CP018664.1	743119	743697	+	579	181	7	21	2	10	168	5	251	198	198	97	187	3	4	37	217	149	3
gene-AUO97_RS03375	NZ_CP018664.1	743770	744483	+	714	263	14	80	13	31	322	27	353	332	334	138	282	27	17	83	329	228	12
gene-AUO97_RS03380	NZ_CP018664.1	744511	745041	-	531	235	14	77	30	41	294	50	208	255	286	169	162	27	11	96	264	255	17
gene-AUO97_RS03385	NZ_CP018664.1	745250	746422	+	1173	5322	720	1580	676	1328	6688	783	7306	7368	4851	3010	5719	843	462	2314	7480	4390	291
gene-AUO97_RS03390	NZ_CP018664.1	746536	747978	+	1443	847	98	437	146	214	1077	153	830	1051	811	456	717	149	71	543	994	756	38
gene-AUO97_RS03395	NZ_CP018664.1	748042	748728	-	687	738	69	339	63	160	857	120	839	941	918	547	690	82	32	381	942	770	36
gene-AUO97_RS03400	NZ_CP018664.1	748748	750406	-	1659	760	129	453	162	234	899	206	834	1038	984	567	674	160	74	513	928	816	52
gene-AUO97_RS03405	NZ_CP018664.1	750538	750918	+	381	200	13	65	34	65	176	44	176	201	135	59	119	35	15	55	193	100	22
gene-AUO97_RS03410	NZ_CP018664.1	751208	753010	+	1803	4202	1778	6320	1515	3658	5439	1911	5716	5864	5274	2737	4002	2284	1024	6675	5714	3989	792
gene-AUO97_RS03415	NZ_CP018664.1	753178	754959	+	1782	1611	679	1824	403	1226	2107	507	2120	2263	2538	1191	1604	767	277	2022	2113	1707	271
gene-AUO97_RS03420	NZ_CP018664.1	755078	755560	+	483	25	0	4	2	4	30	2	33	24	24	19	23	4	1	9	30	24	2
gene-AUO97_RS03425	NZ_CP018664.1	755599	755982	-	384	267	43	85	63	100	253	112	171	276	153	63	123	124	52	69	247	165	59
gene-AUO97_RS03430	NZ_CP018664.1	756147	756593	+	447	273	4	63	29	33	267	28	330	286	229	131	260	12	13	89	324	184	8
gene-AUO97_RS03435	NZ_CP018664.1	756788	758251	-	1464	493	132	285	136	208	577	151	528	664	676	364	459	114	85	372	620	566	58
gene-AUO97_RS03440	NZ_CP018664.1	758327	760402	-	2076	392	43	92	40	60	430	60	536	528	303	164	369	41	21	114	657	272	22
gene-AUO97_RS03445	NZ_CP018664.1	760538	761302	+	765	146	12	49	14	16	165	10	158	188	136	87	140	9	8	37	175	143	7
gene-AUO97_RS03450	NZ_CP018664.1	761473	763251	+	1779	6923	919	1868	612	1502	7487	736	10309	8865	8553	4328	7566	1016	534	2529	9546	6462	325
gene-AUO97_RS03455	NZ_CP018664.1	763391	763606	+	216	5	0	2	0	1	9	1	6	11	2	7	10	0	1	2	6	4	1
gene-AUO97_RS03460	NZ_CP018664.1	763667	764440	+	774	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0
gene-AUO97_RS03465	NZ_CP018664.1	764442	765569	-	1128	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
gene-AUO97_RS03470	NZ_CP018664.1	765749	766564	+	816	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03475	NZ_CP018664.1	766583	767476	+	894	321	63	133	67	97	338	57	402	387	372	173	378	79	44	186	365	256	36
gene-AUO97_RS03480	NZ_CP018664.1	767473	768507	-	1035	343	19	66	25	52	380	30	402	351	297	150	364	28	24	94	385	273	13
gene-AUO97_RS03485	NZ_CP018664.1	768515	769282	-	768	356	14	105	29	49	445	26	487	446	346	208	465	36	29	157	441	284	11
gene-AUO97_RS03490	NZ_CP018664.1	769279	770034	-	756	439	31	126	38	51	490	38	565	530	421	275	469	45	22	167	532	347	21
gene-AUO97_RS03495	NZ_CP018664.1	770031	771059	-	1029	546	39	133	46	87	603	47	643	661	517	313	575	59	26	193	693	440	23
gene-AUO97_RS03500	NZ_CP018664.1	771082	771972	-	891	317	22	73	29	39	343	34	377	351	245	160	321	30	12	89	326	222	7
gene-AUO97_RS03505	NZ_CP018664.1	772040	772966	-	927	5889	790	2278	805	1492	6736	912	8775	8420	8596	4697	6006	1062	493	2962	8266	6785	371
gene-AUO97_RS03510	NZ_CP018664.1	772991	775741	-	2751	3537	387	1325	470	858	4302	561	4898	4684	4676	2522	3605	536	263	1700	4487	3699	188
gene-AUO97_RS03515	NZ_CP018664.1	775810	777078	-	1269	2898	179	833	261	489	4116	285	3827	4665	3228	1910	2651	316	108	1017	4286	2837	90
gene-AUO97_RS03520	NZ_CP018664.1	777351	777566	+	216	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
gene-AUO97_RS03525	NZ_CP018664.1	777584	778474	-	891	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
gene-AUO97_RS03535	NZ_CP018664.1	778921	782673	+	3753	0	0	1	0	0	0	0	1	2	3	2	0	0	1	0	1	1	0
gene-AUO97_RS03540	NZ_CP018664.1	782728	783504	-	777	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
gene-AUO97_RS03545	NZ_CP018664.1	783616	783894	+	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03555	NZ_CP018664.1	784846	785388	-	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03560	NZ_CP018664.1	785670	786971	-	1302	3	0	1	0	0	0	1	1	2	3	2	1	1	0	0	2	1	1
gene-AUO97_RS03565	NZ_CP018664.1	787126	787212	-	87	1	0	0	0	1	2	0	1	6	6	1	3	1	0	5	4	2	0
gene-AUO97_RS03570	NZ_CP018664.1	787394	788431	+	1038	440	18	77	34	42	366	39	457	436	322	176	416	25	20	101	482	294	12
gene-AUO97_RS03575	NZ_CP018664.1	788585	789613	+	1029	171	22	44	41	40	199	38	241	237	186	97	207	18	13	80	260	214	9
gene-AUO97_RS03580	NZ_CP018664.1	789699	790268	+	570	162	4	42	14	32	172	15	160	189	183	74	149	23	6	63	182	126	4
gene-AUO97_RS03585	NZ_CP018664.1	790444	791577	+	1134	1219	65	226	90	168	1165	100	1442	1346	1004	626	1185	98	46	303	1504	963	32
gene-AUO97_RS03590	NZ_CP018664.1	791676	792005	+	330	1718	161	464	174	330	1828	140	2426	2283	2325	1360	1732	241	78	608	2415	2032	64
gene-AUO97_RS03595	NZ_CP018664.1	792057	793958	+	1902	5433	1173	2128	857	1843	6563	928	8248	8291	7894	4408	5882	1342	639	2775	8426	6723	452
gene-AUO97_RS03600	NZ_CP018664.1	793967	794932	+	966	2034	519	848	428	882	2413	465	3164	3096	2975	1656	2171	666	289	1109	3096	2523	211
gene-AUO97_RS03605	NZ_CP018664.1	794996	796249	-	1254	792	62	253	93	177	948	114	1080	1018	1007	532	880	98	44	317	1107	803	42
gene-AUO97_RS03610	NZ_CP018664.1	796350	797069	+	720	44	6	19	7	5	52	14	56	42	48	21	62	4	8	15	52	35	6
gene-AUO97_RS03615	NZ_CP018664.1	797131	798042	+	912	232	16	79	37	41	285	40	392	348	399	165	278	21	7	106	331	269	16
gene-AUO97_RS03620	NZ_CP018664.1	798050	798901	-	852	243	14	89	30	55	316	37	311	331	307	152	270	20	9	121	292	208	8
gene-AUO97_RS03625	NZ_CP018664.1	798946	799560	+	615	524	21	134	42	54	538	48	649	623	516	286	491	26	19	151	660	448	10
gene-AUO97_RS03630	NZ_CP018664.1	799595	799897	+	303	512	28	156	44	76	592	42	726	637	561	336	560	40	24	165	681	431	21
gene-AUO97_RS03635	NZ_CP018664.1	799902	800381	+	480	479	17	98	28	50	523	21	647	642	446	302	508	26	17	116	621	412	12
gene-AUO97_RS03640	NZ_CP018664.1	800405	802276	+	1872	601	38	153	53	83	700	62	804	719	476	274	730	61	43	185	796	387	27
gene-AUO97_RS03645	NZ_CP018664.1	802328	802642	-	315	890	295	654	383	552	1075	456	1237	1159	1946	824	1038	378	232	691	1305	1345	176
gene-AUO97_RS03650	NZ_CP018664.1	802734	803222	+	489	1002	25	328	50	131	1299	62	1642	1686	1818	994	1163	50	22	459	1654	1433	10
gene-AUO97_RS03655	NZ_CP018664.1	803382	804659	+	1278	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene-AUO97_RS03660	NZ_CP018664.1	804747	805259	+	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03665	NZ_CP018664.1	805487	805816	-	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03670	NZ_CP018664.1	806365	809052	+	2688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
gene-AUO97_RS03680	NZ_CP018664.1	809467	809859	-	393	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gene-AUO97_RS03685	NZ_CP018664.1	809935	811242	+	1308	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	2	0	0
gene-AUO97_RS03690	NZ_CP018664.1	811254	811514	+	261	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03695	NZ_CP018664.1	811504	813333	+	1830	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
gene-AUO97_RS03700	NZ_CP018664.1	813405	813767	-	363	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03705	NZ_CP018664.1	813801	816947	-	3147	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0
gene-AUO97_RS03710	NZ_CP018664.1	816961	818460	-	1500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03715	NZ_CP018664.1	818460	819764	-	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03720	NZ_CP018664.1	819845	820306	-	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03725	NZ_CP018664.1	820352	821272	-	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03730	NZ_CP018664.1	821259	823229	-	1971	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0
gene-AUO97_RS03735	NZ_CP018664.1	823311	823661	-	351	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
gene-AUO97_RS03740	NZ_CP018664.1	823810	824493	+	684	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene-AUO97_RS03745	NZ_CP018664.1	824483	825856	+	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03750	NZ_CP018664.1	825934	828291	-	2358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
gene-AUO97_RS03755	NZ_CP018664.1	828570	828950	+	381	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene-AUO97_RS03760	NZ_CP018664.1	829018	829899	+	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03765	NZ_CP018664.1	830165	831214	-	1050	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
gene-AUO97_RS03770	NZ_CP018664.1	831269	831565	-	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03775	NZ_CP018664.1	831657	831986	-	330	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03780	NZ_CP018664.1	832045	832743	-	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03785	NZ_CP018664.1	832825	833850	-	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS19555	NZ_CP018664.1	833921	834067	-	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03790	NZ_CP018664.1	834171	834434	-	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03795	NZ_CP018664.1	834969	835187	+	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03800	NZ_CP018664.1	835256	835459	+	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03805	NZ_CP018664.1	836248	837453	+	1206	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
gene-AUO97_RS03810	NZ_CP018664.1	837634	837966	-	333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03815	NZ_CP018664.1	838075	839172	-	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03820	NZ_CP018664.1	839442	839933	+	492	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS19360	NZ_CP018664.1	840289	841008	-	720	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03830	NZ_CP018664.1	841377	842477	+	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AUO97_RS03835	NZ_CP018664.1	843044	844183	+	1140	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
gene-AUO97_RS03840	NZ_CP018664.1	844185	845171	+	987	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
gene-AUO97_RS03850	NZ_CP018664.1	845606	846100	+	495	765	31	304	59	150	1028	72	1265	1319	1399	752	945	58	29	485	1213	1158	18
gene-AUO97_RS03855	NZ_CP018664.1	846140	846562	-	423	414	55	244	88	184	514	116	617	600	528	313	559	120	55	267	626	461	36
gene-AUO97_RS03860	NZ_CP018664.1	846564	847001	-	438	582	82	339	118	230	730	136	764	836	765	433	685	152	72	380	770	660	41
gene-AUO97_RS03865	NZ_CP018664.1	847002	847898	-	897	231	24	143	17	51	252	37	264	346	290	162	210	24	22	146	276	251	15
gene-AUO97_RS03870	NZ_CP018664.1	848091	848426	+	336	745	22	288	80	110	802	80	963	1076	1288	738	716	44	24	373	1092	1055	15
gene-AUO97_RS03875	NZ_CP018664.1	848784	849977	+	1194	0	0	0	0	1	2	2	2	2	3	2	1	1	0	0	3	2	0
gene-AUO97_RS03880	NZ_CP018664.1	850063	851436	+	1374	346	44	182	54	72	432	78	354	512	432	262	328	34	29	263	502	382	20
gene-AUO97_RS03885	NZ_CP018664.1	851638	851752	-	115	9	5	7	0	8	10	1	12	8	11	2	3	0	0	5	8	9	1
gene-AUO97_RS03890	NZ_CP018664.1	851938	854830	-	2893	19	32	28	15	40	20	41	15	7	154	161	35	45	15	22	21	49	18
gene-AUO97_RS03895	NZ_CP018664.1	855171	855246	-	76	89	3	25	5	18	70	6	65	51	56	44	132	2	6	35	81	41	3
gene-AUO97_RS03900	NZ_CP018664.1	855302	855378	-	77	113	5	28	6	19	91	9	72	65	77	51	160	2	6	45	93	48	3
gene-AUO97_RS03905	NZ_CP018664.1	855438	856974	-	1537	21	4	7	9	11	29	19	23	28	143	115	26	44	4	13	39	49	4
gene-AUO97_RS03910	NZ_CP018664.1	857517	858020	+	504	228	13	51	6	24	276	14	311	285	219	125	218	12	7	50	250	201	6
gene-AUO97_RS03915	NZ_CP018664.1	858026	859249	+	1224	549	33	122	53	44	592	58	760	838	568	349	558	29	20	103	896	574	19
gene-AUO97_RS03920	NZ_CP018664.1	859264	859743	+	480	606	23	117	62	43	664	63	859	864	628	410	603	25	10	125	945	636	9
gene-AUO97_RS03925	NZ_CP018664.1	859791	860801	-	1011	446	107	202	80	133	560	83	542	605	580	289	534	82	71	248	561	400	44
gene-AUO97_RS03930	NZ_CP018664.1	860908	862533	+	1626	453	40	123	40	67	485	47	552	569	490	249	449	48	31	145	503	370	16
gene-AUO97_RS03935	NZ_CP018664.1	862534	863343	-	810	472	22	129	48	73	524	41	632	646	599	330	524	34	26	192	636	493	23
gene-AUO97_RS03940	NZ_CP018664.1	863547	864881	+	1335	755	55	194	61	146	790	64	919	912	719	386	767	87	39	278	878	632	17
gene-AUO97_RS03945	NZ_CP018664.1	864924	865295	+	372	274	33	114	46	88	326	50	394	324	357	210	279	56	18	164	375	303	13
gene-AUO97_RS03950	NZ_CP018664.1	865306	865980	+	675	336	39	140	56	97	397	53	473	464	538	225	312	49	23	229	464	391	18
gene-AUO97_RS03955	NZ_CP018664.1	866065	866508	+	444	209	18	52	12	15	231	26	322	263	255	104	227	16	14	99	309	214	1
gene-AUO97_RS03960	NZ_CP018664.1	866551	867390	-	840	810	74	240	117	186	825	96	834	918	622	377	719	119	62	333	880	511	38
gene-AUO97_RS03965	NZ_CP018664.1	867391	868203	-	813	1154	107	346	113	215	1286	153	1247	1387	1081	559	1159	155	82	449	1286	844	43
gene-AUO97_RS03970	NZ_CP018664.1	868227	869210	-	984	873	106	296	117	239	1066	145	944	1066	826	471	872	147	77	422	1103	720	59
gene-AUO97_RS03975	NZ_CP018664.1	869383	869811	+	429	16689	1653	3763	1451	3335	19714	1655	23313	20765	13876	8353	19761	2454	993	4955	22973	12633	664
gene-AUO97_RS03980	NZ_CP018664.1	869824	870210	+	387	13429	1550	3072	1245	2946	14340	1520	17908	16895	11166	6373	15520	2126	756	3953	18363	10220	562
